"","to","from","fraction2010","fraction2011","fraction2012","fraction2013","fraction2014","fraction2015","fraction2016","fraction2017","fraction2018","fraction2019","fraction_mean"
"1","Albania","Argentina",0.00160479991868529,0,0.000914017828536738,0.00159948488866439,0.000748252351789967,0.00148911822119491,0.000959495119363277,0.00174222138565371,0.00154494772508205,0.0012827349936468,0.00118850724326171
"2","Algeria","Argentina",0.260355084499256,0.242548275848024,0.332954945499199,0.232825934240982,0.289026867956322,0.215789195904992,0.243729677271203,0.414236711733177,0.382736849218854,0.337648062994111,0.295185160516612
"3","Angola","Argentina",0.0965233795273934,0.222719360043062,0.531576120825847,0.482710846522653,0.29863609939763,0.0890357891166891,0.802807484079212,0.0226368802224221,0.048096926440299,0.104469663009428,0.269921254918464
"4","Armenia","Argentina",0.000310910564074233,0,0,0.00075112466030098,0.000509323945206453,0.000861752146655058,0.00125095647711688,0.00242574419237373,0.000872473629434717,0,0.000698228561516206
"5","Australia","Argentina",0.40098561760137,0.508492131810859,0.268638193008691,0.202978252182023,0.21960961792369,0.355093012042543,0.383627939969764,0.15863642121824,0.0356867215780728,0.00119522913128544,0.253494313646654
"6","Austria","Argentina",0.000288081864813471,0.000618099637479349,0.000596125459553892,0.000730873459891803,0.000704362683124109,0.000335115848248329,0.000208942885318471,0.000180361055268368,0.000103920217930233,0.000114549839384387,0.000388043295101241
"7","Azerbaijan","Argentina",0.000522477634350507,0.000141168766452212,0.000108775577086193,0.000216864107934247,0.000326357547928741,0.000236654893910055,0.000282646894903209,0.000392004852048167,0,0,0.000222695027461333
"8","Bahrain","Argentina",0.101082143430567,0.403045223883465,0.839210150524516,0.0612927924720045,0.0913542849890953,0.447969120615954,0.0569517632213924,0.0887159787770215,0.162078975521612,0.100304867505039,0.235200530094067
"9","Bangladesh","Argentina",0.000205064918091975,0.0744205466315908,0.038101444448946,0.0348734972543848,0.0389477174275012,0.039476914178818,0.0529184679874672,0.0812903894917741,0.056510792068414,0.0434253186963453,0.0460170153103333
"10","Belgium","Argentina",0.00188003064495944,0.00161692564555237,0.00145376466038097,0.00127300392517571,0.00133005377620564,0.00109348172875804,0.00107931506366574,0.00113035172891109,0.000783824478352232,0.000677441555825076,0.00123181932077863
"11","Benin","Argentina",0.0188933974479944,0.0499490956350412,0.0504889646697425,0.0248393514485701,0.2692425620628,0.294049225653288,0.908011612006774,0.0801390394506299,0.19353006732381,0.041590609530394,0.193073392522904
"12","Bolivia (Plurinational State of)","Argentina",0.97852712478028,0.950821132738946,0.984320633784571,0.543337030140401,0.108802278733587,0.880779945270211,0.810212756879593,0.954092506808152,0.969332173265501,0.924145295678956,0.81043708780802
"13","Bosnia and Herzegovina","Argentina",0.000409734360235635,0,0.000506115956809727,0.000669356866456587,0.000654230231148985,0.000583921720005956,0.000342993655118435,0.0007582947487211,0.000861175703774218,0.000374010713484923,0.000515983395575557
"14","Brazil","Argentina",0.568493772674129,0.731045741409208,0.689397958185511,0.263971264232948,0.293696820568838,0.660117425988489,0.571670139985957,0.787306862187174,0.794138047204575,0.706362367159707,0.606620039959654
"15","Brunei Darussalam","Argentina",0.16912242421756,0.225938688355306,0.186092125126245,0.514223256761052,0.388006173574894,0.832605379632619,0.860099692909196,0.824018483501413,0.214550450538322,0.947609902541097,0.51622665771577
"16","Bulgaria","Argentina",0.00760378730256558,0.00850348214396124,0.0167728998589607,0.00392083748147932,0.00399895548823174,0.00438591013730919,0.0031827653684738,0.000615808244534812,0.00704000246924426,0.017043682184635,0.00730681306793956
"17","Burkina Faso","Argentina",0.00268751334203966,0.0028976415422583,0.0057192442777629,0.00283748808675645,0.00259300149737402,0,0.00114485713085283,0.08488269629164,0.00507338841277236,0.00291850457592757,0.0110754335157384
"18","Cabo Verde","Argentina",0.411116653400658,0.655531134090384,0.564826816084127,0.179604646264815,0.215108364447088,0.533032251361948,0.200229598679211,0.539630652554156,0.578815990765174,0.648176350736565,0.452607245838413
"19","Cameroon","Argentina",0.00262648539713795,0.0797098695226657,0.0347390342869859,0.0179445973988744,0.0168420918209088,0.0167823786784854,0.0344124275123173,0.115593370567279,0.0180981666143333,0.0192858920955616,0.035603431389455
"20","Canada","Argentina",0.000808246167006935,0.000793880730588888,0.00167110854211789,0.00258781654922628,0.00227188494070483,0.00136312435079193,0.00142308583459416,0.00122912987381931,0.00138278964743798,0.00158901072028463,0.00151200773565728
"21","Chile","Argentina",0.298490906346372,0.433859286782511,0.540576118034231,0.124815580495315,0.254813578669834,0.169428442398529,0.39668927255272,0.714820373185216,0.711111641001618,0.738774242617992,0.438337944208434
"22","China, mainland","Argentina",0.205609002250552,0.155443769351259,0.0824074178959287,0.0808873817846243,0.0786606183981871,0.110847286695059,0.0842144561037148,0.0625921266310847,0.0312355409434864,0.083821168157224,0.097571876821112
"23","China, Taiwan Province of","Argentina",0.080518931836849,0.0182897608800535,0.092704036182522,0.113161897020901,0.00379146220401843,0.000470799064725346,0.00515321129968912,0.0275525915075605,0.0179917571294035,0.071919945119018,0.0431554392244741
"24","Colombia","Argentina",0.474662090188567,0.506359336946881,0.595900816189579,0.388683454482712,0.0244020272081458,0.00627005669133653,0.0258229796528001,0.0160752651849853,0.0144608374347172,0.136203190831025,0.218884005481075
"25","Congo","Argentina",0.0966779647915538,0.245347635858011,0.319479807339428,0.0130883814301259,0.0524585125120972,0.113227824428489,0.00602048134755186,0.0457760342349326,0.0619630282112942,0.171862570737449,0.112590224089093
"26","Costa Rica","Argentina",0.000208370714703411,0.000342310740299631,0.125778706882997,0.181664171276194,0.000640605697766279,0.000731689266265194,0.00101279896894394,0.0275258732064604,0.000725026616733882,0.00116815751430132,0.0339797710884665
"27","Côte d'Ivoire","Argentina",0.0145917263460731,0.0638458428414838,0.0765102718537546,0.000705430777277337,0.000784060919386472,0.0168078765600681,0.00169521588554982,0.118289485366212,0.129145116356615,0.0241498168036409,0.0446524843710061
"28","Croatia","Argentina",0.00514487589849598,0.00421279865497865,0.00952554611203911,0.0137870722170407,0.000929279872122241,0.00187900447993917,0.00313117817774379,0.00355996590184145,0.00228340454560314,0.00259372093724687,0.00470468467970511
"29","Cuba","Argentina",0.0802166312439779,0.100981573867915,0.0626918908156677,0.311668552095222,0.259156446756028,0.459381028068384,0.38875390886299,0.291191480013365,0.394304174236002,0.38046698755947,0.272881267351902
"30","Cyprus","Argentina",0.000761985297410278,0.00120877881394321,0.0014365991556396,0.00082071080209253,0.000734002106904905,0.00103122928977092,0.000812598275617472,0.000810120023407118,0.00169177382220879,0.0025204166771495,0.00118282142641443
"31","Czechia","Argentina",0.0204723675763096,0.0193135086642736,0.00870092922524287,0.0176534556992131,0.0179522989883574,0.00946099045179648,0.00836148272532235,0.00439934183147239,0.00174015742419236,0.000237401813891786,0.0108291934400072
"32","Democratic Republic of the Congo","Argentina",0.0646209268489533,0.166000097888409,0.21936562308674,0.023875257437543,0.0370688841327043,0.017191624579442,0.064665167902206,0.196938167126436,0.0766613099680014,0.107088192113603,0.0973475251084038
