"name","mean"
"Afghanistan",-0.0315919542764388
"Albania",-0.0193200476314773
"Algeria",-0.0213458300176328
"Angola",-0.0307589717851455
"Antigua and Barbuda",-0.00595
"Argentina",-0.000333756993957644
"Armenia",-0.0231099889318161
"Australia",-0.0308222691235727
"Austria",-0.0354181622612841
"Azerbaijan",-0.0248871998529373
"Bahamas",-0.0607718402721951
"Bahrain",-0.0207854466650789
"Bangladesh",-0.0303939829921077
"Barbados",-0.0594531702834093
"Belarus",-0.0142571188535015
"Belgium",-0.0248462777164715
"Belize",-0.0582915508875673
"Benin",-0.0143080234911032
"Bhutan",-0.00416346541333501
"Bolivia",-0.00448908059838026
"Bosnia and Herzegovina",-0.0246128251986829
"Botswana",-0.0353824870155369
"Brazil",-0.00288921207226188
"Brunei Darussalam",-0.00739062142116101
"Bulgaria",-0.0225499121939029
"Burkina Faso",-0.0202816696213777
"Burma",-0.0225895900269638
"Burundi",-0.0337343745234934
"Cambodia",-0.016790708629897
"Cameroon",-0.0268638291129832
"Canada",-0.0582900023171163
"Cape Verde",-0.00637184754715184
"Central African Republic",0.00495979143551825
"Chad",-0.00447548005718587
"Chile",-0.0123158781875432
"China",-0.0646717779708884
"Colombia",-0.0444219576267028
"Comoros",-0.0145468634040367
"Congo",-0.0206845883328826
"Costa Rica",-0.0557003836887055
"Cote d'Ivoire",-0.0201063718190837
"Croatia",-0.0330303972230387
"Cuba",-0.03167057102029
"Cyprus",-0.014706237753707
"Czech Republic",-0.0358826931388448
"Democratic Republic of the Congo",-0.0247808118836611
"Denmark",-0.0332610379840326
"Djibouti",-0.0159108498339883
"Dominica",-0.0173029769152876
"Dominican Republic",-0.0594660291338672
"Ecuador",-0.0420379763036931
"Egypt",-0.0274957974963686
"El Salvador",-0.059376940767009
"Equatorial Guinea",-0.00211130044433524
"Eritrea",-0.0183141932683303
"Estonia",-0.0359273220281909
"Ethiopia",-0.0306652916438821
"Faroe Islands",-0.0386731086554055
"Fiji",-0.018309698166048
"Finland",-0.0539008474821879
"France",-0.0393509291248223
"French Polynesia",-0.0447936779699339
"Gabon",-0.0209722246167351
"Gambia",-0.0150977422089968
"Georgia",-0.0229041423088258
"Germany",-0.0394056002034814
"Ghana",-0.0438297546417021
"Greece",-0.00943365084240602
"Grenada",-0.059308605009837
"Guatemala",-0.0592734652347676
"Guinea",-0.0225021572913488
"Guinea-Bissau",-0.00715949162802515
"Guyana",-0.0584992946028107
"Haiti",-0.0530910760022281
"Honduras",-0.0586536191951129
"Hong Kong",-0.0462771799528841
"Hungary",-0.0244734909495159
"Iceland",-0.0365074899844346
"India",-0.0113749479064447
"Indonesia",-0.0325458126113697
"Iran (Islamic Republic of)",-0.0522649471345627
"Iraq",-0.0335921950084804
"Ireland",-0.0298251024670432
"Israel",-0.0253839199571281
"Italy",-0.028111913775588
"Jamaica",-0.0584151898812621
"Japan",-0.0579880783946478
"Jordan",-0.0213612022484959
"Kazakhstan",-0.0234917383473207
"Kenya",-0.0247698640807256
"Kiribati",-0.00473312352394613
"Korea, Democratic People's Republic of",-0.0364254619749071
"Korea, Republic of",-0.044601214170558
"Kuwait",-0.0220820255213982
"Kyrgyzstan",-0.0272891143340671
"Lao People's Democratic Republic",-0.0244336640039045
"Latvia",-0.0397241988167633
"Lebanon",-0.0184643108922701
"Lesotho",0.00241612507448604
"Liberia",-0.0555536476237904
"Libyan Arab Jamahiriya",-0.0172382270513876
"Lithuania",-0.0251538701589646
"Luxembourg",-0.0218497481640446
"Macau",-0.0574374219332627
"Madagascar",-0.010919096917186
"Malawi",-0.046529054196346
"Malaysia",-0.0305741236722947
"Maldives",0.0312343348704155
"Mali",-0.0198571007113063
"Malta",-0.0195120618010995
"Marshall Islands",-0.00411160975906002
"Mauritania",-0.0191738161205862
"Mauritius",-0.00736282316374848
"Mexico",-0.057243837167236
"Micronesia, Federated States of",-0.0119
"Mongolia",-0.0213546497224745
"Montenegro",-0.0134005947184327
"Morocco",-0.0304391767844592
"Mozambique",-0.0296171157378772
"Namibia",-0.0220248125648143
"Nauru",-0.0179034615384615
"Nepal",-0.00663111147776667
"Netherlands",-0.0341319955959944
"New Caledonia",-0.0144013101679289
"New Zealand",-0.0207932421361291
"Nicaragua",-0.0580540197334704
"Niger",0.00917122865300241
"Nigeria",-0.045498316395855
"Norway",-0.0568865096352519
"Oman",-0.0230096015442467
"Pakistan",-0.0494559542868922
"Palestine",-0.00669584860953346
"Panama",-0.0553797458984262
"Papua New Guinea",-0.0185820018398673
"Paraguay",-0.0503364417651344
"Peru",-0.0353755486515028
"Philippines",-0.0385057046340036
"Poland",-0.0311544824630702
"Portugal",-0.0324685520959713
"Qatar",-0.0193719253719462
"Republic of Moldova",-0.0218825838591848
"Romania",-0.0156549460644669
"Russia",-0.0301814645832165
"Rwanda",-0.0191564719014162
"Saint Kitts and Nevis",-0.03627
"Saint Lucia",-0.0419492040075293
"Saint Vincent and the Grenadines",-0.0593107192587527
"Samoa",-0.01960597003341
"Saudi Arabia",-0.0444473940391378
"Senegal",-0.0163615707434293
"Serbia",-0.0330965726263258
"Seychelles",-0.00642555056263185
"Sierra Leone",-0.0230871501214252
"Singapore",-0.0336560374570689
"Slovakia",-0.0358325586749629
"Slovenia",-0.0373479671584954
"Solomon Islands",-0.0183740342762458
"Somalia",-0.0246770766312355
"South Africa",-0.0289104412508567
"Spain",-0.0347922774438937
"Sri Lanka",-0.0435046746725268
"Sudan",-0.0265241565460778
"Suriname",-0.0430524902747782
"Swaziland",-0.027784394831866
"Sweden",-0.0386807441456598
"Switzerland",-0.0249876658150161
"Syrian Arab Republic",-0.0162548561044784
"Taiwan",-0.0621036849640472
"Tajikistan",-0.030947869734834
"Thailand",-0.0495885707989469
"The former Yugoslav Republic of Macedonia",-0.0116744618881216
"Timor-Leste",-0.0620563111131213
"Togo",-0.0338015939388072
"Tonga",-0.00541
"Trinidad and Tobago",-0.0594564432854291
"Tunisia",-0.0251011821290943
"Turkey",-0.0269893474414819
"Turkmenistan",-0.014479258913052
"Tuvalu",-0.01508
"Uganda",-0.0233871912726788
"Ukraine",-0.0288140518793299
"United Arab Emirates",-0.0268666073756045
"United Kingdom",-0.0384330614503628
"United Republic of Tanzania",-0.028111716271748
"United States",-0.0503422967734539
"Uruguay",0.014042926179009
"Uzbekistan",-0.0321585499439701
"Vanuatu",-0.02468
"Venezuela",-0.0506180956053591
"Viet Nam",-0.0343233527852572
"Yemen",-0.0217479611981075
"Zambia",-0.0342784330006824
"Zimbabwe",-0.0587758485729753
